organisation_id,subsidiary_id,organisation_size,submission_period,packaging_activity,packaging_type,packaging_class,packaging_material,packaging_material_subtype,from_country,to_country,packaging_material_weight,packaging_material_units,transitional_packaging_units,ram_rag_rating
165282,,L,2025-H2,SO,HH,P1,PL,,,,1800,,,G
165282,,L,2025-H2,SO,HH,P1,PC,,,,2600,,,G
165282,,L,2025-H2,SO,HH,P1,GL,,,,3500,,,G
165282,,L,2025-H2,SO,HH,P1,AL,,,,520,,,G
165282,,L,2025-H2,SO,PB,B1,ST,,,,950,,,G
165282,,L,2025-H2,PF,NH,P2,WD,,,,1400,,,G
165282,,L,2025-H2,PF,RU,P5,FC,,,,1100,,,G
165282,,L,2025-H2,IM,HH,P1,PL,,,,2900,,,G
165282,,L,2025-H2,IM,HH,P1,OT,Ceramic,,,400,,,G
165282,,L,2025-H2,IM,NH,P1,FC,,,,3800,,,G
165282,,L,2025-H2,,CW,O1,PL,,EN,,6200,,,G
165282,,L,2025-H2,,CW,O1,PL,,SC,,2100,,,G
165282,,L,2025-H2,,OW,O2,PC,,EN,,4800,,,G
165282,,L,2025-H2,,OW,O2,GL,,NI,,7200,,,G
165282,165283,L,2025-H2,SO,HH,P1,PL,Rigid,,,630,,,G
165282,165283,L,2025-H2,PF,NH,P2,PC,,,,385,,,G
165282,165283,L,2025-H2,IM,HH,P1,GL,,,,1225,,,G
165282,165283,L,2025-H2,SO,HH,P1,AL,,,,182,,,G
165282,165283,L,2025-H2,,CW,O1,PL,,EN,,2170,,,G
165282,165284,L,2025-H2,SO,HH,P1,PL,Rigid,,,396,,,G
165282,165284,L,2025-H2,PF,NH,P2,PC,,,,242,,,G
165282,165284,L,2025-H2,IM,HH,P1,GL,,,,770,,,G
165282,165284,L,2025-H2,SO,HH,P1,AL,,,,114,,,G
165282,165284,L,2025-H2,,CW,O1,PL,,EN,,1364,,,G
