organisation_id,subsidiary_id,organisation_size,submission_period,packaging_activity,packaging_type,packaging_class,packaging_material,packaging_material_subtype,from_country,to_country,packaging_material_weight,packaging_material_units,transitional_packaging_units,ram_rag_rating
165282,,L,2026-H1,SO,HH,P1,PL,Rigid,,,2200,,,G
165282,,L,2026-H1,PF,NH,P2,PC,,,,1350,,,
165282,,L,2026-H1,IM,HH,P1,GL,,,,4100,,,G
165282,,L,2026-H1,SO,HH,P1,AL,,,,610,,,G
165282,,L,2026-H1,,CW,O1,PL,,EN,,7300,,,
165282,165283,L,2026-H1,SO,HH,P1,PL,Rigid,,,770,,,G
165282,165283,L,2026-H1,PF,NH,P2,PC,,,,472,,,
165282,165283,L,2026-H1,IM,HH,P1,GL,,,,1435,,,G
165282,165283,L,2026-H1,SO,HH,P1,AL,,,,214,,,G
165282,165283,L,2026-H1,,CW,O1,PL,,EN,,2555,,,
165282,165284,L,2026-H1,SO,HH,P1,PL,Rigid,,,484,,,G
165282,165284,L,2026-H1,PF,NH,P2,PC,,,,297,,,
165282,165284,L,2026-H1,IM,HH,P1,GL,,,,902,,,G
165282,165284,L,2026-H1,SO,HH,P1,AL,,,,134,,,G
165282,165284,L,2026-H1,,CW,O1,PL,,EN,,1606,,,
